,avg_price,total_price,location,followInfo
384,45280.9,403.0,西湖,20.0
385,47752.8,425.0,西湖,6.0
386,35898.7,285.0,西湖,12.0
387,22063.5,210.0,西湖,2.0
388,32471.4,275.0,西湖,96.0
389,40859.7,365.0,西湖,13.0
390,20575.3,108.0,西湖,1.0
391,37977.5,338.0,西湖,16.0
392,72969,450.0,西湖,24.0
393,34676.6,290.0,西湖,69.0
394,78858.7,1100.0,西湖,11.0
395,35070.9,220.0,西湖,17.0
396,79968.4,810.0,西湖,5.0
397,41860.5,360.0,西湖,13.0
398,53860,480.0,西湖,10.0
399,22864.7,295.0,西湖,14.0
400,44917,395.0,西湖,67.0
401,42857.1,450.0,西湖,34.0
402,41726.3,350.0,西湖,17.0
403,29406,450.0,西湖,4.0
404,24246,660.0,西湖,1.0
405,46707.8,825.0,西湖,10.0
406,49333.5,470.0,西湖,33.0
407,38793.1,270.0,西湖,11.0
408,64077.2,485.0,西湖,36.0
409,35982.5,599.0,西湖,91.0
410,38999.8,248.0,西湖,2.0
411,30120.5,250.0,西湖,3.0
412,42846.8,590.0,西湖,73.0
413,58724.8,595.0,西湖,46.0
414,79754.6,1300.0,西湖,22.0
415,37151.7,240.0,西湖,126.0
416,18092.1,275.0,西湖,36.0
417,29180.9,145.0,西湖,84.0
418,39789.2,740.0,西湖,31.0
419,32883.5,290.0,西湖,20.0
420,38942.1,240.0,西湖,2.0
421,18799.3,300.0,西湖,85.0
422,42016.8,225.0,西湖,163.0
423,22710.6,62.0,西湖,21.0
424,57008.7,850.0,西湖,17.0
425,30292.8,450.0,西湖,46.0
426,38219.4,255.0,西湖,140.0
427,44712.1,980.0,西湖,1.0
428,61870.5,860.0,西湖,7.0
429,40046.7,240.0,西湖,52.0
430,45700.7,405.0,西湖,20.0
431,48372.9,495.0,西湖,37.0
432,46459.1,288.0,西湖,23.0
433,60590.5,355.0,西湖,12.0
434,64620.9,895.0,西湖,16.0
435,34567.9,280.0,西湖,4.0
436,26512.2,135.0,西湖,8.0
437,50342.6,382.0,西湖,6.0
438,37572.9,335.0,西湖,11.0
439,45818.2,630.0,西湖,5.0
440,30000,249.0,西湖,51.0
441,25714.3,90.0,西湖,38.0
442,32854,265.0,西湖,26.0
443,42054.5,375.0,西湖,8.0
444,139177,4300.0,西湖,54.0
445,65573.8,580.0,西湖,4.0
446,43903.2,265.0,西湖,13.0
447,37125.4,389.0,西湖,3.0
448,57303.4,510.0,西湖,12.0
449,49887.2,420.0,西湖,8.0
450,70947.1,200.0,西湖,25.0
451,42004.4,171.0,西湖,34.0
452,55056.2,490.0,西湖,28.0
453,62040.1,860.0,西湖,33.0
454,51546.4,335.0,西湖,37.0
455,38570.8,190.0,西湖,71.0
456,65326.6,1300.0,西湖,8.0
457,61744.7,373.0,西湖,17.0
458,40340.9,355.0,西湖,26.0
459,38101.6,680.0,西湖,5.0
460,65143.5,345.0,西湖,3.0
461,40000,205.0,西湖,12.0
462,23006.8,505.0,西湖,155.0
463,40777.5,300.0,西湖,163.0
464,66393.4,405.0,西湖,14.0
465,49152.5,580.0,西湖,37.0
466,53932.6,480.0,西湖,8.0
467,39687,350.0,西湖,21.0
468,31460.7,560.0,西湖,19.0
469,39357.7,500.0,西湖,120.0
470,33333.3,600.0,西湖,30.0
471,48209.4,560.0,西湖,3.0
472,33363.3,297.0,西湖,3.0
473,29134,182.0,西湖,5.0
474,50976.5,710.0,西湖,35.0
475,29254,180.0,西湖,15.0
476,39465.2,245.0,西湖,11.0
477,56179.8,500.0,西湖,95.0
478,37787.2,250.0,西湖,71.0
479,50287.4,245.0,西湖,6.0
